Airport ID,label
2,0
4,0
5,0
6,0
5430,0
3,0
5431,0
5434,0
5424,0
5435,0
1,0
2279,1
2397,1
3077,1
3316,1
3320,0
3322,0
3361,0
4074,0
5419,0
5420,0
5421,0
5422,0
5423,0
5425,0
5427,0
5428,0
5429,0
5433,0
5436,0
5437,0
5979,0
5984,0
7,2
8,2
9,2
18,2
5440,2
5442,2
5445,2
16,3
4248,2
5443,2
5447,2
609,3
3995,2
3997,2
11,2
12,2
15,2
193,4
337,3
340,3
421,3
478,3
502,3
507,3
548,3
580,3
625,3
644,3
679,3
737,3
1212,3
1382,3
3448,4
3494,4
3577,4
3797,4
4167,4
5439,2
21,5
121,5
133,5
24,7
189,4
5485,7
27,7
111,4
192,7
28,4
71,7
146,4
202,7
29,7
132,7
147,7
196,7
30,4
119,4
156,4
32,7
37,7
69,7
128,7
183,7
68,7
40,7
55,7
75,7
41,7
140,7
5487,7
42,7
54,7
97,7
176,4
45,4
77,4
188,7
48,4
180,4
49,4
72,7
87,4
90,4
99,4
100,4
120,4
122,4
136,7
160,4
166,4
168,4
175,4
178,4
184,4
1780,4
1826,4
1836,4
1840,4
1852,4
3462,4
3484,4
3550,4
3839,4
3877,4
3878,4
7266,4
50,7
187,7
5534,7
139,7
145,7
155,7
206,7
4239,7
4244,7
148,7
154,7
170,7
5495,7
58,4
5524,4
60,7
62,7
5496,7
5516,7
6727,7
65,4
6775,4
67,5
115,5
169,5
5527,5
70,4
1760,4
153,7
7254,7
73,4
1441,4
1761,4
1910,4
1918,4
1923,4
3533,4
3617,4
3646,4
4069,4
5810,4
5852,4
78,4
172,4
79,4
80,7
161,7
85,4
109,7
91,5
143,5
5490,5
94,7
5503,7
98,4
117,4
144,4
177,5
105,5
5464,5
108,4
173,4
5479,5
5480,5
5491,5
5533,5
127,4
162,4
5498,7
130,7
5535,7
141,7
5497,7
190,5
3515,4
3747,4
210,3
302,3
346,3
1074,3
1218,3
1230,3
1354,3
1555,3
1665,3
1678,3
1800,4
1824,4
1897,4
1902,4
1903,4
1909,4
1953,4
2170,8
2875,4
2878,4
2881,4
3576,4
3645,4
3670,4
3697,4
3751,4
3793,4
3941,3
5514,7
149,7
152,7
5507,7
5481,7
5512,7
5520,7
6728,7
4238,7
5462,7
164,4
179,4
200,4
2006,0
2276,1
3364,1
3406,1
3456,4
3469,4
3514,4
3602,4
3728,4
3731,4
3830,4
3930,1
5523,4
5545,4
6738,4
174,4
5550,7
5465,5
5468,5
5469,5
5478,5
5489,5
5521,5
5531,5
5546,5
5547,5
5548,5
1856,4
182,4
5461,7
5488,7
7252,7
469,3
534,3
599,3
1590,3
1613,3
1633,3
1636,3
1638,3
1701,3
1754,4
1759,3
1779,4
1885,4
1892,4
1904,4
1926,4
1941,4
1948,4
2179,8
2188,8
2206,8
2207,8
2223,8
2564,9
2650,9
2709,10
2789,9
2851,4
2874,4
2894,4
2895,4
2899,4
2902,4
2939,3
3093,8
3488,4
3520,4
3720,4
3722,4
3752,4
3861,4
3876,4
4029,11
4067,4
4237,7
5463,7
5511,7
5526,7
7275,4
7255,7
209,3
231,3
1335,3
1353,3
1386,3
211,3
216,3
220,3
221,3
227,3
230,3
234,12
235,3
237,12
238,12
242,3
243,12
244,12
246,13
280,13
287,3
344,3
1044,13
1084,13
1094,3
1128,8
1157,8
1229,3
1246,3
1264,3
1273,3
1320,3
1399,3
1423,3
1524,3
2072,8
2074,8
2177,8
2236,8
2241,8
2985,11
3998,3
5552,3
5553,3
6492,3
214,12
222,12
236,12
239,12
240,12
5555,12
245,13
253,13
273,13
883,13
886,13
897,13
970,13
4059,13
247,13
248,13
298,13
249,13
251,13
252,13
270,13
345,3
813,13
1050,13
1059,13
1063,13
1107,13
3682,4
3714,4
5556,13
1062,13
4162,13
260,13
261,13
262,13
263,13
267,13
275,13
276,13
6730,13
6972,13
264,13
268,13
269,13
286,3
490,3
492,3
521,3
523,3
1418,3
1739,3
5562,3
290,3
293,3
295,3
296,3
1154,8
1156,8
1435,3
1512,3
1551,3
1606,3
2176,8
5804,8
342,3
629,3
7447,3
351,3
352,3
353,3
415,3
491,3
495,3
669,3
687,3
738,3
951,13
1064,3
1066,3
1070,3
1075,3
1080,3
1120,13
1165,13
1190,3
1194,3
1208,3
1216,3
1253,3
1489,3
1509,3
1526,3
1529,3
1538,3
1561,3
1563,3
1569,3
1587,3
1626,3
1657,3
1737,3
1742,3
2997,8
3144,8
3953,3
3959,3
4161,13
4317,3
5673,3
5783,3
6780,3
304,3
441,3
535,3
657,3
680,3
691,3
699,3
1051,3
1054,3
1055,3
1056,3
1197,3
1209,3
1222,3
1225,3
1236,3
1247,3
1251,3
1252,3
1265,3
1323,3
1352,3
1356,3
1359,3
1439,3
1448,3
1458,3
1486,3
1501,3
1505,3
1506,3
1508,3
1515,3
1519,3
1525,3
1539,3
1545,3
1550,3
1553,3
1562,3
1567,3
1650,3
1745,3
3956,3
4309,3
6493,3
350,3
582,3
636,3
666,3
1200,3
1206,3
1321,3
1452,3
1520,3
1676,3
1682,3
1688,3
1706,3
2948,11
2954,3
2988,11
4053,3
338,3
347,3
339,3
348,3
388,3
410,3
608,3
665,3
668,3
772,3
893,3
994,3
1130,3
1132,3
1145,13
1226,3
1472,3
1528,3
1609,3
1610,3
1611,3
1612,3
1646,3
1652,3
1685,3
1689,3
1695,3
1696,3
1715,3
1721,3
1726,3
1735,3
1741,3
1762,4
2050,8
2057,8
2064,8
2082,8
2194,8
2235,8
2560,9
2621,9
2882,4
2901,4
2908,11
2910,11
2922,11
2942,11
2964,11
2975,11
2976,11
2979,11
2983,11
2990,11
3024,8
3043,8
3131,8
3141,8
3156,8
3179,1
3199,1
3205,1
3304,1
3370,1
3388,1
3885,1
3942,1
3973,3
3988,9
3989,8
3992,1
4057,3
4078,11
4091,3
4105,13
4118,11
4130,8
4274,11
4330,8
5803,3
341,3
349,3
382,3
4166,3
4208,3
4322,3
5559,3
671,3
1322,3
1462,3
499,3
517,3
552,3
1053,3
1057,3
1470,3
1663,3
371,3
373,3
596,3
797,13
1309,3
1546,3
1658,3
2987,11
3964,11
356,3
688,3
2941,3
498,3
458,3
645,3
664,3
355,3
601,3
1202,3
1203,3
1243,3
1517,3
7459,3
364,3
674,3
5592,3
1558,3
399,11
4198,3
416,3
417,3
428,3
429,3
432,3
433,3
435,3
437,3
438,3
439,3
446,3
448,3
453,3
462,3
463,3
743,3
1474,3
2949,11
4362,11
5560,3
460,3
455,3
728,3
465,3
514,3
1227,3
467,3
488,3
520,3
532,3
533,3
468,3
537,3
600,3
605,3
675,3
1102,13
1198,3
1213,3
1231,3
1340,3
4313,3
5591,3
472,3
481,3
547,3
597,3
1103,13
1276,3
1329,3
1460,3
1738,3
3007,8
4197,3
493,3
4347,14
1270,3
1360,3
4315,3
603,3
676,3
1438,3
1191,3
1196,3
1588,3
1662,3
2944,11
494,3
497,3
522,3
1361,3
1403,3
1415,3
1405,3
503,3
628,3
630,3
1005,13
1488,3
1881,4
734,3
907,13
1177,13
1187,13
1205,3
1220,3
1250,3
3626,4
3849,4
3858,4
508,3
510,3
515,3
529,15
5564,15
5566,15
5567,15
5568,15
5569,15
5571,15
530,3
531,3
541,3
5577,3
1367,3
3986,3
585,3
607,3
733,3
1193,3
1214,3
1268,3
1280,3
1289,3
1376,3
1531,3
579,9
2647,9
1078,3
1175,8
1180,13
1455,3
1476,3
1871,4
2559,9
2773,4
2896,4
2897,4
2916,11
3383,1
3386,1
3395,1
3473,4
4357,11
591,3
604,3
5563,3
612,3
618,3
619,3
638,3
742,3
3958,3
5595,3
631,16
635,16
641,16
663,16
4252,16
632,16
649,16
653,16
4325,16
4328,16
4350,16
634,16
662,16
640,16
652,16
4349,16
5580,16
5582,16
5584,16
5587,16
5590,16
647,3
651,3
659,3
4389,3
5586,3
637,16
4327,16
5589,16
642,3
655,3
656,3
658,16
660,3
4345,3
5585,3
646,16
5581,16
5588,16
5583,16
708,3
1541,3
2945,3
2947,3
2952,11
685,3
721,3
739,3
5593,3
693,3
698,3
714,3
703,3
705,3
707,3
731,3
709,3
711,3
715,3
718,3
5598,3
719,3
730,3
722,3
724,3
726,3
729,3
5599,3
6737,3
746,3
5594,3
5597,3
5952,8
794,13
799,13
800,13
820,13
838,13
6778,13
804,13
877,13
879,13
880,13
881,13
906,13
916,3
918,13
930,13
974,13
976,13
979,13
988,13
990,13
1004,13
1013,13
1016,13
1020,13
1038,13
1186,13
3351,0
888,13
999,13
890,13
891,13
894,3
917,3
3339,0
901,13
898,13
908,13
910,13
912,13
914,13
915,13
929,13
4119,8
923,13
921,13
920,13
922,13
927,13
932,13
933,13
937,13
941,13
943,13
5617,13
5629,13
931,13
935,13
5625,13
5619,13
939,13
942,13
946,13
948,13
5632,13
949,13
953,13
957,13
958,13
959,13
960,13
973,3
5630,13
5633,13
967,13
971,13
984,13
986,13
977,13
985,13
5637,13
995,3
3967,8
1001,13
1026,13
1028,13
1031,13
1036,13
1037,13
1042,13
1043,13
1027,13
1033,13
1035,13
1039,13
1041,13
1047,13
1048,13
6510,3
1052,3
5672,3
5674,13
7933,3
5659,3
6756,3
7429,13
1077,3
5670,3
1065,3
1068,3
1072,3
1534,3
5671,3
1330,3
5665,13
1104,13
1105,13
1106,13
5675,13
1109,13
1111,13
1112,13
1113,13
1114,13
1116,13
1118,13
1121,13
1173,13
3980,8
7417,13
1110,13
1117,13
1119,13
5601,13
1149,13
5687,13
1122,8
3974,8
3977,8
1126,8
2191,8
1127,8
1136,8
2059,8
2067,8
2096,8
2190,8
2239,8
3975,8
3976,8
5691,8
5702,8
1138,13
1140,13
1183,13
1141,13
1143,13
1144,13
1147,13
5694,13
7976,13
5692,13
5695,13
6773,13
7424,13
1152,8
1153,8
5696,8
1162,8
5697,8
5699,8
5805,8
1166,13
1169,8
5701,8
6768,8
3410,8
1176,13
1182,13
5706,13
5707,13
5708,13
1181,13
5703,13
5704,13
5709,13
2940,3
1223,3
7489,3
1767,4
1905,4
2443,9
2688,4
2715,10
2745,10
2771,9
2816,9
2890,4
1425,3
1262,3
1279,3
1278,3
1274,3
1324,3
1285,3
1313,3
1339,3
1344,3
1350,3
4264,3
5638,3
1602,11
1743,11
2359,1
3536,4
3570,4
6152,11
1412,3
1416,3
2774,4
1422,3
1446,3
1450,3
1451,3
1469,3
1480,3
1454,3
1456,3
1464,3
1459,3
1461,3
4190,3
1465,3
1468,3
4196,3
1475,3
1479,3
1500,3
1502,3
5713,3
1510,3
1511,3
1514,3
1651,3
1654,3
1536,3
1655,3
1675,3
6106,3
5794,3
1579,11
1582,3
1584,11
1746,3
2960,11
5806,3
1594,3
2965,11
1605,3
1679,3
1617,3
1625,3
1628,3
1629,3
5793,3
1627,3
1634,3
1639,3
1637,3
2531,9
2537,9
2578,9
2597,9
2610,9
1648,3
1649,3
1656,3
1659,3
1660,3
6107,3
5780,3
1691,3
1693,3
1694,3
1699,3
1722,3
1723,3
1724,3
1728,3
1729,3
2157,8
2162,8
2912,11
2992,11
3971,3
3987,3
4331,8
4367,11
5796,3
5798,3
5799,3
5800,3
6753,3
6782,3
6783,3
7453,3
1740,3
1753,4
1755,4
1764,4
1895,4
5807,4
3486,4
3678,4
5811,4
1772,4
1863,4
1771,4
1773,4
1774,4
1776,4
4125,4
5832,4
6774,4
1957,4
1782,4
3544,4
7302,4
1783,4
1825,4
1847,4
1850,4
1785,4
1786,4
1787,4
1789,4
1819,4
1853,4
1792,4
1804,4
1816,4
1820,4
1793,4
1794,4
1796,4
1797,4
1798,4
1818,4
1801,4
1802,4
1807,4
1854,4
3453,4
3687,4
3734,4
3748,4
3817,4
1808,4
1810,4
1834,4
1813,4
1814,4
1815,4
1821,4
1829,4
1830,4
1837,4
1842,4
1845,4
1846,4
1848,4
1851,4
1858,4
3621,4
5837,4
5854,4
1839,4
1831,4
1835,4
1855,4
3458,4
3585,4
3673,4
3717,4
3759,4
3825,4
1865,18
1869,18
5848,18
1867,18
5955,18
5957,18
7895,18
2551,9
2673,4
2710,10
2714,10
2749,10
2848,4
2868,4
1879,18
5847,18
5844,4
1884,18
5845,18
1887,18
1889,18
6732,18
6945,18
6731,18
1898,4
1899,4
1908,4
1912,4
1913,4
1914,4
1925,4
4314,4
1930,4
1934,4
1932,4
5859,4
1935,4
1937,4
1946,4
1943,4
1944,4
1949,4
1952,4
1950,4
1951,4
1956,4
5857,4
4279,4
6463,4
7287,4
7288,4
1958,0
1959,0
5861,0
4075,0
5862,0
5864,0
5865,0
1960,0
1963,0
1965,0
1968,0
1969,0
1997,0
2005,0
2009,0
2246,1
2252,0
1961,0
4077,0
4076,0
5885,0
1970,4
1971,0
1972,0
6926,0
7456,0
1975,0
1990,0
1977,0
1978,0
1979,0
1981,0
1993,0
1983,0
1986,0
1984,0
1985,0
1987,0
5890,0
5891,0
5892,0
1989,0
1991,0
1994,0
1995,0
1992,0
4242,0
5896,0
5897,0
5900,0
5901,0
5902,0
5904,0
5905,0
5908,0
5909,0
5911,0
5916,0
5918,0
1998,20
2001,20
1999,20
5920,20
2000,20
5919,20
2002,20
2004,20
5921,20
2011,0
2030,0
2042,0
3272,1
3321,0
3341,0
3359,0
5884,0
2031,0
2048,8
2051,8
2052,8
2053,8
7500,8
7501,8
2056,8
2219,8
3399,1
5922,8
7499,8
2234,8
3076,8
3125,8
3136,8
3137,8
3143,8
3153,8
4150,8
7490,8
2086,8
2089,8
2090,8
2060,8
2061,8
2062,8
2066,8
2075,8
6776,8
2068,8
2069,8
2076,8
2084,8
2081,8
2095,8
2104,8
2123,8
2131,8
2164,8
2167,8
2171,8
3069,8
3074,8
3275,1
5924,8
5925,8
5933,8
5936,8
5954,8
2093,8
3105,8
2097,8
2103,8
2109,8
2134,8
2106,8
2110,8
2114,8
2136,8
7546,8
